Ontology ID	label	parent class	description	guidance	datatype	pattern	requirement	examples	source	capitalize	data status	max value	min value	EXPORT_soil_emsl_jgi_mg	section	order	title	column_number
	Sample ID														Sample ID	1.0	Sample ID	
	NMDC biosample esp. GOLD paths														NMDC biosample esp. GOLD paths	2.0	NMDC biosample esp. GOLD paths	
	EMSL														EMSL	3.0	EMSL	
	JGI-Metagenomics														JGI-Metagenomics	4.0	JGI-Metagenomics	
	Metadata- MIxS Modified Required														Metadata- MIxS Modified Required	6.0	Metadata- MIxS Modified Required	
	Metadata- MIxS Required														Metadata- MIxS Required	7.0	Metadata- MIxS Required	
	Metadata- MIxS Modified Required Where Applicable														Metadata- MIxS Modified Required Where Applicable	8.0	Metadata- MIxS Modified Required Where Applicable	
	Metadata- MIxS Required Where Applicable														Metadata- MIxS Required Where Applicable	9.0	Metadata- MIxS Required Where Applicable	
	Metadata- MIxS Modified Optional														Metadata- MIxS Modified Optional	10.0	Metadata- MIxS Modified Optional	
	Metadata- MIxS Optional														Metadata- MIxS Optional	11.0	Metadata- MIxS Optional	
emsl:project_ID	Project ID	EMSL	Proposal IDs or names associated with dataset	pattern generalization: {text}	xs:token		required							project_ID				1.0
emsl:sample_type	sample type	EMSL	Type of sample being submitted	This can vary from 'environmental package' if the sample is an extraction. | pattern generalization: enumeration	select		required	water extracted soil						sample_type				2.0
emsl:sample_shipped	sample shipped amount	EMSL	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample sent to EMSL	pattern generalization: {float} {unit}	xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+	required							sample_shipped				3.0
emsl:EMSL_store_temp	EMSL Sample Storage Temperature	EMSL	Temperature at which the sample sent to EMSL should be stored	Enter a temperature in celsius. Numeric portion only. | pattern generalization: {float}	xs:decimal		required	-80						EMSL_store_temp				4.0
emsl:technical_reps	Number Technical Replicate	EMSL	If sending multiple technical replicates of the same sample, indicate how many replicates are being sent	pattern generalization: {integer}	xs:nonNegativeInteger		recommended							technical_reps				5.0
emsl:replicate_number	Replicate Number	EMSL	If sending biological replicates, indicate the rep number here.	This will guide staff in ensuring your samples are block & randomized correctly | pattern generalization: {integer}	xs:nonNegativeInteger		recommended							replicate_number				6.0
jgi_gen:dna_seq_project	DNA Seq Project ID	JGI-Metagenomics	Prefilled	Do not edit this term, term will be provided by NMDC and can be uploaded | pattern generalization: {text}	xs:token		required	1191234						dna_seq_project				1.0
jgi_gen:dna_seq_project_name	DNA Seq Project Name	JGI-Metagenomics	Prefilled	Do not edit this term, term will be provided by NMDC and can be uploaded | pattern generalization: {text}	xs:token		required	JGI Pond metagenomics						dna_seq_project_name				2.0
jgi_gen:dna_samp_ID	DNA Sample ID	JGI-Metagenomics	Prefilled	Do not edit this term, term will be provided by NMDC and can be uploaded | pattern generalization: {text}	xs:token		required	187654						dna_samp_ID				3.0
jgi_gen:dna_sample_name	DNA Sample Name	JGI-Metagenomics	Give the DNA sample a name that is meaningful to you. Sample names must be unique across all JGI projects and contain ASCII characters only.	pattern generalization: {text}	xs:token		required	JGI_pond_041618						dna_sample_name				4.0
jgi_gen:dna_concentration	DNA Concentration	JGI-Metagenomics	Must be calculated using a fluorometric method; value >0 and <2000.	Units should be in ng/uL | pattern generalization: {float}	xs:decimal		required	100				2000.0	0.0	dna_concentration				5.0
jgi_gen:dna_volume	DNA Volume	JGI-Metagenomics	Value must be >0 and <1000 (values <25 by special permission only).	Units should be in uL | pattern generalization: {float}	xs:decimal		required	25				1000.0	0.0	dna_volume				6.0
jgi_gen:dna_absorb1	DNA Absorbance 260/280	JGI-Metagenomics	260/280 measurement of sample purity	Recommended value is between 1 and 3. | pattern generalization: {float}	xs:decimal		required	2.02						dna_absorb1				7.0
jgi_gen:dna_absorb2	DNA Absorbance 260/230	JGI-Metagenomics	260/230 measurement of sample purity	Recommended value is between 1 and 3. | pattern generalization: {float}	xs:decimal		required	2.02						dna_absorb2				8.0
jgi_gen:dna_container_ID	DNA Container Label	JGI-Metagenomics	Must be unique across all tubes and plates, and <20 characters. All samples in a plate should have the same plate label.	pattern generalization: {text}	xs:token		required	Pond_MT_041618						dna_container_ID				9.0
jgi_gen:dna_cont_type	DNA Container Type	JGI-Metagenomics	tube or plate (96-well)	pattern generalization: enumeration	select		required	plate						dna_cont_type				10.0
jgi_gen:dna_cont_well	DNA Well Number	JGI-Metagenomics	Corner wells must be blank. For partial plates, fill by columns. Leave blank if the sample will be shipped in a tube.	Required when 'plate' is selected for container type | pattern generalization: {text}	xs:token		required	B2						dna_cont_well				11.0
jgi_gen:dna_sample_format	DNA Sample Format	JGI-Metagenomics	Choose from the following: Pellet, RNAStable, DNAStable, Ethanol, MDA reaction buffer, PBS, TE, Water, Low EDTA TE, 10 mM Tris-HCl	Identify what the DNA sample is suspended in | pattern generalization: enumeration	select		required	Water						dna_sample_format				12.0
jgi_gen:dna_dnase	DNAse Treatment DNA	JGI-Metagenomics	Y/N. Note DNAse treatment is required for all RNA samples.	pattern generalization: enumeration	select		required	No						dna_dnase				13.0
jgi_gen:dna_organisms	DNA Expected Organisms	JGI-Metagenomics	List any organisms known or suspected to grow in co-culture, as well as estimated % of the organism in that culture.	pattern generalization: {text}	xs:token		required	expected to contain microbes (59%) fungi (30%), viruses (10%), tadpoles (1%)						dna_organisms				14.0
jgi_gen:dna_collect_site	DNA Collection Site	JGI-Metagenomics	Provide information on the site your DNA sample was collected from	pattern generalization: {text}	xs:token		required	untreated pond water						dna_collect_site				15.0
jgi_gen:dna_isolate_meth	DNA Isolation Method	JGI-Metagenomics	Describe the method/protocol/kit used to extract DNA/RNA.	pattern generalization: {text}	xs:token		required	phenol/chloroform extraction						dna_isolate_meth				16.0
jgi_gen:dna_seq_project_PI	DNA Seq Project PI	JGI-Metagenomics	Prefilled	Do not edit this term, term will be provided by NMDC and can be uploaded | pattern generalization: {text}	xs:token		required	Jane Johnson						dna_seq_project_PI				17.0
jgi_gen:dna_project_contact	DNA Seq Project Contact	JGI-Metagenomics	Prefilled	Do not edit this term, term will be provided by NMDC and can be uploaded | pattern generalization: {text}	xs:token		required	John Jones						dna_project_contact				18.0
jgi_gen:proposal_dna	DNA Proposal ID	JGI-Metagenomics	Prefilled	Do not edit this term, term will be provided by NMDC and can be uploaded | pattern generalization: {text}	xs:token		required	504000						proposal_dna				19.0
mixs_modified:samp_biotic_relationship	observed biotic relationship	Metadata- MIxS Modified Optional	Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object	pattern generalization: enumeration	select									samp_biotic_relationship				16.0
mixs_modified:oxygen_relationship	relationship to oxygen	Metadata- MIxS Modified Optional	Is this organism an aerobe, anaerobe? Please note that aerobic and anaerobic are valid descriptors for microbial environments	pattern generalization: enumeration	select									oxygen_relationship				17.0
mixs_modified:non_microb_biomass	non-microbial biomass	Metadata- MIxS Modified Optional	Amount of biomass; should include the name for the part of biomass measured, e.g.insect, plant, total. Can include multiple measurements separated by ;	pattern generalization: {text};{float} {unit}	xs:token	\S*;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								non_microb_biomass				18.0
mixs_modified:non_microb_biomass_method	non-microbial biomass method	Metadata- MIxS Modified Optional	Reference or method used in determining biomass	"required if ""non-microbial biomass"" is provided | pattern generalization: {PMID}|{DOI}|{URL}"	xs:token									non_microb_biomass_method				19.0
mixs_modified:microbial_biomass_C	microbial biomass carbon	Metadata- MIxS Modified Optional	The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units	pattern generalization: {float} {unit}	xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								microbial_biomass_C				20.0
mixs_modified:micro_biomass_C_meth	microbial biomass carbon method	Metadata- MIxS Modified Optional	Reference or method used in determining microbial biomass	"required if ""microbial_biomass_C"" is provided | pattern generalization: {PMID}|{DOI}|{URL}"	xs:token									micro_biomass_C_meth				21.0
mixs_modified:microbial_biomass_N	microbial biomass nitrogen	Metadata- MIxS Modified Optional	The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units	pattern generalization: {float} {unit}	xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								microbial_biomass_N				22.0
mixs_modified:micro_biomass_N_meth	microbial biomass nitrogen method	Metadata- MIxS Modified Optional	Reference or method used in determining microbial biomass nitrogen	"required if ""microbial_biomass_N"" is provided | pattern generalization: {PMID}|{DOI}|{URL}"	xs:token									micro_biomass_N_meth				23.0
mixs_modified:org_nitro_method	organic nitrogen method	Metadata- MIxS Modified Optional	Method used for obtaining organic nitrogen	pattern generalization: {PMID}|{DOI}|{URL}	xs:token			"required if ""org_nitro_ is provided"						org_nitro_method				24.0
mixs_modified:growth_facility	growth facility	Metadata- MIxS Modified Required	Type of facility/location where the sample was harvested; controlled vocabulary: growth chamber, open top chamber, glasshouse, experimental garden, field.	pattern generalization: enumeration	select		required							growth_facility				1.0
mixs_modified:storage_condt	storage conditions	Metadata- MIxS Modified Required	Explain how the soil sample is stored (fresh/frozen/other).	pattern generalization: enumeration	select		required							storage_condt				2.0
mixs_modified:collection_date	Collection Date	Metadata- MIxS Modified Required	The date of sampling, either as an instance (single point) or interval. 	Date should be formatted as YYYY-MM-DD | pattern generalization: YYYY-MM-DD	xs:token		required							collection_date				3.0
mixs_modified:collection_time	collection time	Metadata- MIxS Modified Required Where Applicable	The time of sampling, either as an instance (single point) or interval.	Time should be formatted as HH:MM:SS | pattern generalization: HH:MM:SS	xs:token		recommended	Time should be reported in GMT (LINK)						collection_time				4.0
mixs_modified:collection_date_inc	Incubation Collection Date	Metadata- MIxS Modified Required Where Applicable	Date the incubation was harvested/collected/ended. Only relevant for incubation samples.	date should be represented as YYYY-MM-DD. See here for a converter: https://www.worldtimebuddy.com/pst-to-gmt-converter | pattern generalization: {timestamp}	xs:date		recommended							collection_date_inc				5.0
mixs_modified:collection_time_inc	Incubation Collection Time	Metadata- MIxS Modified Required Where Applicable	Time the incubation was harvested/collected/ended. Only relevant for incubation samples.	Time should be represented as HH:MM:SS in GMT. See here for a converter: https://www.worldtimebuddy.com/pst-to-gmt-converter | pattern generalization: {timestamp}	xs:date		recommended							collection_time_inc				6.0
mixs_modified:start_date_inc	Incubation Start Date	Metadata- MIxS Modified Required Where Applicable	Date the incubation was started. Only relevant for incubation samples.	date should be represented as YYYY-MM-DD | pattern generalization: {timestamp}	xs:date		recommended							start_date_inc				7.0
mixs_modified:start_time_inc	Incubation Start Time	Metadata- MIxS Modified Required Where Applicable	Time the incubation was started. Only relevant for incubation samples.	Time should be represented as HH:MM:SS GMT | pattern generalization: {timestamp}	xs:date		recommended							start_time_inc				8.0
mixs_modified:depth	depth	Metadata- MIxS Modified Required Where Applicable	The vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.	All depths should be reported in meters | pattern generalization: {float}| {float}-{float}	xs:token		recommended	0-0.1 OR 1						depth				9.0
mixs_modified:sample_processing	sample material processing	Metadata- MIxS Modified Required Where Applicable	A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed.	pattern generalization: {text}	xs:token		recommended							sample_processing				10.0
mixs_modified:sample_collection_dev	sample collection device	Metadata- MIxS Modified Required Where Applicable	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	Report dimensions and details when applicable | pattern generalization: {termLabel} {[termID]}|{text}	xs:token		recommended							sample_collection_dev				11.0
mixs_modified:sample_collection_method	sample collection method	Metadata- MIxS Modified Required Where Applicable	The method employed for collecting the sample.	This can be a citation or description | pattern generalization: {PMID}|{DOI}|{URL}|{text}	xs:token		recommended							sample_collection_method				12.0
mixs_modified:filter_method	Filter Method	Metadata- MIxS Modified Required Where Applicable	Type of filter used or how the sample was filteres	pattern generalization: {text}	xs:token		recommended							filter_method				13.0
mixs_modified:sample_collected	amount or size of sample collected	Metadata- MIxS Modified Required Where Applicable	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.	This referes to the TOTAL amount of sample collected from the experiment. NOT the amount sent to each institution or collected for a specific analysis. | pattern generalization: {float} {unit}	xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+	recommended	5 grams; 10 mL						sample_collected				14.0
mixs_modified:experimental_factor_other	experimental factor- other	Metadata- MIxS Modified Required Where Applicable	Other details about your sample that you feel can't be accurately represented in the available columns.	pattern generalization: {text}	xs:token		recommended							experimental_factor_other				15.0
mixs_modified:other_treatment	other treatments	Metadata- MIxS Modified Required Where Applicable	Other treatments applied to your samples that are not applicable to the provided fields	pattern generalization: {text}	xs:token		recommended							other_treatment				25.0
mixs_modified:isotope_exposure	isotope exposure/addition	Metadata- MIxS Modified Required Where Applicable	List isotope exposure or addition applied to your sample.	pattern generalization: {termLabel} {[termID]}; {timestamp}	xs:token		recommended							isotope_exposure				26.0
mixs_modified:pH	pH	Metadata- MIxS Modified Required Where Applicable	Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	Expected value: measurement value | pattern generalization: {float}	xs:decimal		recommended	7.2				14.0	0.0	pH				27.0
MIXS:0000647	slope aspect	Metadata- MIxS Optional	The direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., nw or 315 degrees. This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration.		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								slope_aspect				19.0
MIXS:0000639	history/agrochemical additions	Metadata- MIxS Optional	Addition of fertilizers, pesticides, etc. - amount and time of applications	pattern generalization: {text};{float} {unit};{timestamp}	xs:token			roundup;5 milligram per liter;2018-06-21						agrochem_addition				20.0
MIXS:0000607	extreme_unusual_properties/Al saturation	Metadata- MIxS Optional	Aluminum saturation (esp. For tropical soils)		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								al_sat				21.0
MIXS:0000324	extreme_unusual_properties/Al saturation method	Metadata- MIxS Optional	Reference or method used in determining Al saturation	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									al_sat_meth				22.0
MIXS:0000644	mean annual precipitation	Metadata- MIxS Optional	The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								annual_precpt				24.0
MIXS:0000642	mean annual temperature	Metadata- MIxS Optional	Mean annual temperature		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		12.5 degree Celsius						annual_temp				25.0
MIXS:0000318	history/crop rotation	Metadata- MIxS Optional	Whether or not crop is rotated, and if yes, rotation schedule	pattern generalization: {boolean};{Rn/start_time/end_time/duration}	xs:token			yes;R2/2017-01-01/2018-12-31/P6M						crop_rotation				26.0
MIXS:0001080	current land use	Metadata- MIxS Optional	Present state of sample site		select			conifers						cur_land_use				27.0
MIXS:0000312	current vegetation	Metadata- MIxS Optional	Vegetation classification from one or more standard classification systems, or agricultural crop	pattern generalization: {text}	xs:token									cur_vegetation				28.0
MIXS:0000314	current vegetation method	Metadata- MIxS Optional	Reference or method used in vegetation classification	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									cur_vegetation_meth				29.0
MIXS:0001085	drainage classification	Metadata- MIxS Optional	Drainage classification from a standard system such as the USDA system		select			well						drainage_class				30.0
MIXS:0000008	experimental factor	Metadata- MIxS Optional	Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.95) terms, please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI	pattern generalization: {termLabel} {[termID]}|{text}	xs:token			time series design [EFO:EFO_0001779]						experimental_factor				31.0
MIXS:0000320	history/extreme events	Metadata- MIxS Optional	Unusual physical events that may have affected microbial populations		xs:date									extreme_event				32.0
MIXS:0001083	soil_taxonomic/FAO classification	Metadata- MIxS Optional	Soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups		select			Luvisols						fao_class				33.0
MIXS:0001086	history/fire	Metadata- MIxS Optional	Historical and/or physical evidence of fire		xs:date									fire				34.0
MIXS:0000319	history/flooding	Metadata- MIxS Optional	Historical and/or physical evidence of flooding		xs:date									flooding				35.0
MIXS:0000652	extreme_unusual_properties/heavy metals	Metadata- MIxS Optional	Heavy metals present in the sequenced sample and their concentrations. For multiple heavy metals and concentrations, add multiple copies of this field.	pattern generalization: {text};{float} {unit}	xs:token	\S*;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		mercury;0.09 micrograms per gram						heavy_metals				36.0
MIXS:0000343	extreme_unusual_properties/heavy metals method	Metadata- MIxS Optional	Reference or method used in determining heavy metals	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									heavy_metals_meth				37.0
MIXS:0000321	horizon method	Metadata- MIxS Optional	Reference or method used in determining the horizon	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									horizon_meth				38.0
MIXS:0000329	link to classification information	Metadata- MIxS Optional	Link to digitized soil maps or other soil classification information	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									link_class_info				39.0
MIXS:0000328	link to climate information	Metadata- MIxS Optional	Link to climate resource	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									link_climate_info				40.0
MIXS:0000330	soil_taxonomic/local classification	Metadata- MIxS Optional	Soil classification based on local soil classification system	pattern generalization: {text}	xs:token									local_class				41.0
MIXS:0000331	soil_taxonomic/local classification method	Metadata- MIxS Optional	Reference or method used in determining the local soil classification	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									local_class_meth				42.0
MIXS:0000752	miscellaneous parameter	Metadata- MIxS Optional	Any other measurement performed or parameter collected, that is not listed here	pattern generalization: {text};{float} {unit}	xs:token	\S*;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		Bicarbonate ion concentration;2075 micromole per kilogram						misc_param				43.0
MIXS:0000753	oxygenation status of sample	Metadata- MIxS Optional	Oxygenation status of sample		select			aerobic						oxy_stat_samp				44.0
MIXS:0000316	history/previous land use method	Metadata- MIxS Optional	Reference or method used in determining previous land use and dates	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									prev_land_use_meth				45.0
MIXS:0000315	history/previous land use	Metadata- MIxS Optional	Previous land use and dates	pattern generalization: {text};{timestamp}	xs:token									previous_land_use				46.0
MIXS:0001084	profile position	Metadata- MIxS Optional	Cross-sectional position in the hillslope where sample was collected.sample area position in relation to surrounding areas		select			summit						profile_position				47.0
MIXS:0000645	mean seasonal precipitation	Metadata- MIxS Optional	The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								season_precpt				48.0
MIXS:0000643	mean seasonal temperature	Metadata- MIxS Optional	Mean seasonal temperature		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		18 degree Celsius						season_temp				49.0
MIXS:0000646	slope gradient	Metadata- MIxS Optional	Commonly called 'slope'. The angle between ground surface and a horizontal line (in percent). This is the direction that overland water would flow. This measure is usually taken with a hand level meter or clinometer		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								slope_gradient				50.0
MIXS:0001082	soil horizon	Metadata- MIxS Optional	Specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath		select			A horizon						soil_horizon				51.0
MIXS:0000335	soil texture measurement	Metadata- MIxS Optional	The relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional.		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								soil_text_measure				52.0
MIXS:0000336	soil texture method	Metadata- MIxS Optional	Reference or method used in determining soil texture	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									soil_texture_meth				53.0
MIXS:0000332	soil type	Metadata- MIxS Optional	Description of the soil type or classification. This field accepts terms under soil (http://purl.obolibrary.org/obo/ENVO_00001998).  Multiple terms can be separated by pipes.	pattern generalization: {termLabel} {[termID]}	xs:token	.* \[ENVO:\d+\]		plinthosol [ENVO:00002250]						soil_type				54.0
MIXS:0000334	soil type method	Metadata- MIxS Optional	Reference or method used in determining soil series name or other lower-level classification	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									soil_type_meth				55.0
MIXS:0000113	temperature	Metadata- MIxS Optional	Temperature of the sample at the time of sampling.		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		25 degree Celsius						temp				56.0
MIXS:0001081	history/tillage	Metadata- MIxS Optional	Note method(s) used for tilling		multiple			chisel						tillage				57.0
MIXS:0000185	water content	Metadata- MIxS Optional	Water content measurement		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								water_content				58.0
MIXS:0000323	water content method	Metadata- MIxS Optional	Reference or method used in determining the water content of soil	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									water_cont_soil_meth				59.0
MIXS:0001106	pH method	Metadata- MIxS Optional	Reference or method used in determining ph	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									ph_meth				61.0
MIXS:0000650	microbial biomass	Metadata- MIxS Optional	The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								microbial_biomass				62.0
MIXS:0000339	microbial biomass method	Metadata- MIxS Optional	Reference or method used in determining microbial biomass	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									micro_biomass_meth				63.0
MIXS:0000310	carbon/nitrogen ratio	Metadata- MIxS Optional	Ratio of amount or concentrations of carbon to nitrogen		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		0.417361111						carb_nitro_ratio				64.0
MIXS:0000204	organic matter	Metadata- MIxS Optional	Concentration of organic matter		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		1.75 milligram per cubic meter						org_matter				65.0
MIXS:0000205	organic nitrogen	Metadata- MIxS Optional	Concentration of organic nitrogen		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		4 micromole per liter						org_nitro				66.0
MIXS:0000525	total carbon	Metadata- MIxS Optional	Total carbon content		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								tot_carb				67.0
MIXS:0000530	total nitrogen content	Metadata- MIxS Optional	Total nitrogen content of the sample		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								tot_nitro_content				68.0
MIXS:0000338	total nitrogen content method	Metadata- MIxS Optional	Reference or method used in determining the total nitrogen	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									tot_nitro_cont_meth				69.0
MIXS:0000533	total organic carbon	Metadata- MIxS Optional	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+								tot_org_carb				70.0
MIXS:0000337	total organic carbon method	Metadata- MIxS Optional	Reference or method used in determining total organic carbon	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									tot_org_c_meth				71.0
