Ontology ID	label	parent class	description	guidance	datatype	pattern	requirement	examples	source	capitalize	data status	max value	min value	EXPORT_soil_emsl_jgi_mg	section	order	title	column_number
MIXS:0000117	total phosphorus	Metadata- MIxS Optional	Total phosphorus concentration in the sample, calculated by: total phosphorus = total dissolved phosphorus + particulate phosphorus		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		0.03 milligram per liter						tot_phosp				72.0
MIXS:0000505	phosphate	Metadata- MIxS Optional	Concentration of phosphate		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		0.7 micromole per liter						phosphate				73.0
MIXS:0000183	salinity	Metadata- MIxS Optional	The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater.		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		25 practical salinity unit						salinity				74.0
MIXS:0000341	salinity method	Metadata- MIxS Optional	Reference or method used in determining salinity	pattern generalization: {PMID}|{DOI}|{URL}	xs:token									salinity_meth				75.0
MIXS:0000012	broad-scale environmental context	Metadata- MIxS Required	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	pattern generalization: {termLabel} {[termID]}	select		required	oceanic epipelagic zone biome [ENVO:01000033] for annotating a water sample from the photic zone in middle of the Atlantic Ocean						env_broad_scale				1.0
MIXS:0000013	local environmental context	Metadata- MIxS Required	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.	pattern generalization: {termLabel} {[termID]}	xs:token	.* \[ENVO:\d+\]	required	litter layer [ENVO:01000338]; Annotating a pooled sample taken from various vegetation layers in a forest consider: canopy [ENVO:00000047]|herb and fern layer [ENVO:01000337]|litter layer [ENVO:01000338]|understory [01000335]|shrub layer [ENVO:01000336].						env_local_scale				2.0
MIXS:0000014	environmental medium	Metadata- MIxS Required	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	pattern generalization: {termLabel} {[termID]}	xs:token	.* \[ENVO:\d+\]	required	soil [ENVO:00001998]; Annotating a fish swimming in the upper 100 m of the Atlantic Ocean, consider: ocean water [ENVO:00002151]. Example: Annotating a duck on a pond consider: pond water [ENVO:00002228]|air [ENVO_00002005]						env_medium				3.0
MIXS:0000010	geographic location (country and/or sea,region)	Metadata- MIxS Required	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	pattern generalization: {term}: {term}, {text}	xs:token			USA: Maryland, Bethesda						geo_loc_name				4.0
MIXS:0000009	geographic location (latitude and longitude)	Metadata- MIxS Required	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	pattern generalization: {float} {float}	xs:token			50.586825 6.408977						lat_lon				5.0
MIXS:0000093	elevation	Metadata- MIxS Required	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+	required	100 meter						elev				6.0
MIXS:0000110	sample storage temperature	Metadata- MIxS Required	Temperature at which sample was stored, e.g. -80 degree Celsius		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		-80 degree Celsius						samp_store_temp				7.0
MIXS:0000322	composite design/sieving	Metadata- MIxS Required Where Applicable	Collection design of pooled samples and/or sieve size and amount of sample sieved	pattern generalization: {{text}|{float} {unit}};{float} {unit}	xs:token									sieving				8.0
MIXS:0000735	size-fraction lower threshold	Metadata- MIxS Required Where Applicable	Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials larger than the size threshold are excluded from the sample		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		0.2 micrometer						size_frac_low				9.0
MIXS:0000736	size-fraction upper threshold	Metadata- MIxS Required Where Applicable	Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		20 micrometer						size_frac_up				10.0
MIXS:0001038	biotic regimen	Metadata- MIxS Required Where Applicable	Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi.	pattern generalization: {text}	xs:token			sample inoculated with Rhizobium spp. Culture						biotic_regm				11.0
MIXS:0000551	air temperature regimen	Metadata- MIxS Required Where Applicable	Information about treatment involving an exposure to varying temperatures; should include the temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include different temperature regimens	pattern generalization: {float} {unit};{Rn/start_time/end_time/duration}	xs:token			25 degree Celsius;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M						air_temp_regm				12.0
MIXS:0000751	chemical administration	Metadata- MIxS Required Where Applicable	List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi	pattern generalization: {termLabel} {[termID]};{timestamp}	xs:token			agar [CHEBI:2509];2018-05-11T20:00Z						chem_administration				13.0
MIXS:0001040	climate environment	Metadata- MIxS Required Where Applicable	Treatment involving an exposure to a particular climate; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple climates	pattern generalization: {text};{Rn/start_time/end_time/duration}	xs:token			tropical climate;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M						climate_environment				14.0
MIXS:0000558	gaseous environment	Metadata- MIxS Required Where Applicable	Use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens	pattern generalization: {text};{float} {unit};{Rn/start_time/end_time/duration}	xs:token			nitric oxide;0.5 micromole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M						gaseous_environment				15.0
MIXS:0000568	humidity regimen	Metadata- MIxS Required Where Applicable	Information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens	pattern generalization: {float} {unit};{Rn/start_time/end_time/duration}	xs:token			25 gram per cubic meter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M						humidity_regm				16.0
MIXS:0000569	light regimen	Metadata- MIxS Required Where Applicable	Information about treatment(s) involving exposure to light, including both light intensity and quality.	pattern generalization: {text};{float} {unit};{float} {unit}	xs:token			incandescant light;10 lux;450 nanometer						light_regm				17.0
MIXS:0000591	watering regimen	Metadata- MIxS Required Where Applicable	Information about treatment involving an exposure to watering frequencies, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens	pattern generalization: {float} {unit};{Rn/start_time/end_time/duration}	xs:token			1 liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M						watering_regm				18.0
MIXS:0000094	altitude	Metadata- MIxS Required Where Applicable	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air		xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+		100 meter						alt				23.0
	ecosystem	NMDC biosample esp. GOLD paths	An ecosystem is a combination of a physical environment (abiotic factors) and all the organisms (biotic factors) that interact with this environment. Ecosystem is in position 1/5 in a GOLD path.	The abiotic factors play a profound role on the type and composition of organisms in a given environment. The GOLD Ecosystem at the top of the five-level classification system is aimed at capturing the broader environment from which an organism or environmental sample is collected. The three broad groups under Ecosystem are Environmental, Host-associated, and Engineered. They represent samples collected from a natural environment or from another organism or from engineered environments like bioreactors respectively.	xs:token									ecosystem				1.0
	ecosystem_category	NMDC biosample esp. GOLD paths	Ecosystem categories represent divisions within the ecosystem based on specific characteristics of the environment from where an organism or sample is isolated. Ecosystem category is in position 2/5 in a GOLD path.	The Environmental ecosystem (for example) is divided into Air, Aquatic and Terrestrial. Ecosystem categories for Host-associated samples can be individual hosts or phyla and for engineered samples it may be manipulated environments like bioreactors, solid waste etc.	xs:token									ecosystem_category				2.0
	ecosystem_type	NMDC biosample esp. GOLD paths	Ecosystem types represent things having common characteristics within the Ecosystem Category. These common characteristics based grouping is still broad but specific to the characteristics of a given environment. Ecosystem type is in position 3/5 in a GOLD path.	The Aquatic ecosystem category (for example) may have ecosystem types like Marine or Thermal springs etc. Ecosystem category Air may have Indoor air or Outdoor air as different Ecosystem Types. In the case of Host-associated samples, ecosystem type can represent Respiratory system, Digestive system, Roots etc.	xs:token									ecosystem_type				3.0
	ecosystem_subtype	NMDC biosample esp. GOLD paths	Ecosystem subtypes represent further subdivision of Ecosystem types into more distinct subtypes. Ecosystem subtype is in position 4/5 in a GOLD path.	Ecosystem Type Marine (Environmental -> Aquatic -> Marine) is further divided (for example) into Intertidal zone, Coastal, Pelagic, Intertidal zone etc. in the Ecosystem subtype category.	xs:token									ecosystem_subtype				4.0
	specific_ecosystem	NMDC biosample esp. GOLD paths	Specific ecosystems represent specific features of the environment like aphotic zone in an ocean or gastric mucosa within a host digestive system. Specific ecosystem is in position 5/5 in a GOLD path.	Specific ecosystems help to define samples based on very specific characteristics of an environment under the five-level classification system.	xs:token									specific_ecosystem				5.0
samp_id:unique_ID	Globally Unique ID	Sample ID	A globally unique identifier assigned to the biological sample to link all analytes and subsamples derived from it.	Field REQUIRED for ALL sample submission. Options: IGSN- http://www.geosamples.org/getigsn ; UUID- https://www.uuidgenerator.net/ | pattern generalization: {text}:{text}	xs:unique	[^\:\n\r]+\:[^\:\n\r]+	required							unique_ID				1.0
samp_id:sample_name	sample name	Sample ID	A local identifier or name that for the material sample collected. Refers to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible.	Should be human readable | pattern generalization: {text}	xs:token		required							sample_name				2.0
samp_id:env_package	environmental package	Sample ID	MIxS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported	pattern generalization: enumeration	select		required	soil						env_package				3.0
samp_id:analysis_type	Analysis/Data Type	Sample ID	Include all the data types associated or available for this biosample, this field can have multiple values separated by a ;	This field is constrained to contain only a set of limited terms indicate the types of data that were generated. | pattern generalization: enumeration	multiple		required	metagenomics; metabolomics; proteomics						analysis_type				4.0
samp_id:sample_link	sample linkage	Sample ID	A unique identifier to assign parent-child, subsample, or sibling samples. This is relevant when a sample or other material was used to generate the new sample. This field allows multiple entries separated by ; (Examples: Soil collected from the field will link with the soil used in an incubation. The soil a plant was grown in links to the plant sample. An original culture sample was transferred to a new vial and generated a new sample)	Multiple identifiers can be provided, separated by a ; | pattern generalization: {text}:{text}	xs:token	[^\:\n\r]+\:[^\:\n\r]+	recommended	IGSN:DSJ0284						sample_link				5.0
	metabolomics	Analysis/Data Type																
	metagenomics	Analysis/Data Type																
	metaproteomics	Analysis/Data Type																
	metatranscriptomics	Analysis/Data Type																
	natural organic matter	Analysis/Data Type																
	badlands	current land use																
	cities	current land use																
	conifers (e.g. pine,spruce,fir,cypress)	current land use																
	crop trees (nuts,fruit,christmas trees,nursery trees)	current land use																
	farmstead	current land use																
	gravel	current land use																
	hardwoods (e.g. oak,hickory,elm,aspen)	current land use																
	hayland	current land use																
	horticultural plants (e.g. tulips)	current land use																
	industrial areas	current land use																
	intermixed hardwood and conifers	current land use																
	marshlands (grass,sedges,rushes)	current land use																
	meadows (grasses,alfalfa,fescue,bromegrass,timothy)	current land use																
	mines/quarries	current land use																
	mudflats	current land use																
	oil waste areas	current land use																
	pastureland (grasslands used for livestock grazing)	current land use																
	permanent snow or ice	current land use																
	rainforest (evergreen forest receiving >406 cm annual rainfall)	current land use																
	rangeland	current land use																
	roads/railroads	current land use																
	rock	current land use																
	row crops	current land use																
	saline seeps	current land use																
	salt flats	current land use																
	sand	current land use																
	shrub crops (blueberries,nursery ornamentals,filberts)	current land use																
	shrub land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)	current land use																
	small grains	current land use																
	successional shrub land (tree saplings,hazels,sumacs,chokecherry,shrub dogwoods,blackberries)	current land use																
	swamp (permanent or semi-permanent water body dominated by woody plants)	current land use																
	tropical (e.g. mangrove,palms)	current land use																
	tundra (mosses,lichens)	current land use																
	vegetable crops	current land use																
	vine crops (grapes)	current land use																
	plate	DNA Container Type																
	tube	DNA Container Type																
	no	DNAse Treatment DNA																
	yes	DNAse Treatment DNA																
	10 mM Tris-HCl	DNA Sample Format																
	DNAStable	DNA Sample Format																
	Ethanol	DNA Sample Format																
	Low EDTA TE	DNA Sample Format																
	MDA reaction buffer	DNA Sample Format																
	PBS	DNA Sample Format																
	Pellet	DNA Sample Format																
	RNAStable	DNA Sample Format																
	TE	DNA Sample Format																
	Water	DNA Sample Format																
	excessively drained	drainage classification																
	moderately well	drainage classification																
	poorly	drainage classification																
	somewhat poorly	drainage classification																
	very poorly	drainage classification																
	well	drainage classification																
	soil	environmental package																
	Acrisols	soil_taxonomic/FAO classification																
	Andosols	soil_taxonomic/FAO classification																
	Arenosols	soil_taxonomic/FAO classification																
	Cambisols	soil_taxonomic/FAO classification																
	Chernozems	soil_taxonomic/FAO classification																
	Ferralsols	soil_taxonomic/FAO classification																
	Fluvisols	soil_taxonomic/FAO classification																
	Gleysols	soil_taxonomic/FAO classification																
	Greyzems	soil_taxonomic/FAO classification																
	Gypsisols	soil_taxonomic/FAO classification																
	Histosols	soil_taxonomic/FAO classification																
	Kastanozems	soil_taxonomic/FAO classification																
	Lithosols	soil_taxonomic/FAO classification																
	Luvisols	soil_taxonomic/FAO classification																
	Nitosols	soil_taxonomic/FAO classification																
	Phaeozems	soil_taxonomic/FAO classification																
	Planosols	soil_taxonomic/FAO classification																
	Podzols	soil_taxonomic/FAO classification																
	Podzoluvisols	soil_taxonomic/FAO classification																
	Rankers	soil_taxonomic/FAO classification																
	Regosols	soil_taxonomic/FAO classification																
	Rendzinas	soil_taxonomic/FAO classification																
	Solonchaks	soil_taxonomic/FAO classification																
	Solonetz	soil_taxonomic/FAO classification																
	Vertisols	soil_taxonomic/FAO classification																
	Yermosols	soil_taxonomic/FAO classification																
	experimental_garden	growth facility																
	field	growth facility																
	field_incubation	growth facility																
	glasshouse	growth facility																
	greenhouse	growth facility																
	growth_chamber	growth facility																
	lab_incubation	growth facility																
	open_top_chamber	growth facility																
	other	growth facility																
	aerobic	oxygenation status of sample																
	anaerobic	oxygenation status of sample																
	other	oxygenation status of sample																
	aerobe	relationship to oxygen																
	anaerobe	relationship to oxygen																
	facultative	relationship to oxygen																
	microaerophilic	relationship to oxygen																
	microanaerobe	relationship to oxygen																
	obligate aerobe	relationship to oxygen																
	obligate anaerobe	relationship to oxygen																
	backslope	profile position																
	footslope	profile position																
	shoulder	profile position																
	summit	profile position																
	toeslope	profile position																
	commensalism	observed biotic relationship																
	free living	observed biotic relationship																
	mutualism	observed biotic relationship																
	parasitism	observed biotic relationship																
	symbiotic	observed biotic relationship																
	soil	sample type																
	water_extract_soil	sample type																
	A horizon	soil horizon																
	B horizon	soil horizon																
	C horizon	soil horizon																
	E horizon	soil horizon																
	O horizon	soil horizon																
	Permafrost	soil horizon																
	R layer	soil horizon																
	fresh	storage conditions																
	frozen	storage conditions																
	lyophilized	storage conditions																
	other	storage conditions																
	chisel	history/tillage																
	cutting disc	history/tillage																
	disc plough	history/tillage																
	drill	history/tillage																
	mouldboard	history/tillage																
	ridge till	history/tillage																
	strip tillage	history/tillage																
	tined	history/tillage																
	zonal tillage	history/tillage																
ENVO:01001835	alpine biome [ENVO:01001835]	broad-scale environmental context																
ENVO:01001505	__alpine tundra biome [ENVO:01001505]	broad-scale environmental context																
ENVO:01000219	anthropogenic terrestrial biome [ENVO:01000219]	broad-scale environmental context																
ENVO:01000247	__rangeland biome [ENVO:01000247]	broad-scale environmental context																
ENVO:01000246	__village biome [ENVO:01000246]	broad-scale environmental context																
ENVO:01001838	arid biome [ENVO:01001838]	broad-scale environmental context																
ENVO:01000181	mangrove biome [ENVO:01000181]	broad-scale environmental context																
ENVO:01001836	montane biome [ENVO:01001836]	broad-scale environmental context																
ENVO:01000223	__montane savanna biome [ENVO:01000223]	broad-scale environmental context																
ENVO:01000216	__montane shrubland biome [ENVO:01000216]	broad-scale environmental context																
ENVO:01000339	polar biome [ENVO:01000339]	broad-scale environmental context																
ENVO:01000176	shrubland biome [ENVO:01000176]	broad-scale environmental context																
ENVO:01000216	__montane shrubland biome [ENVO:01000216]	broad-scale environmental context																
ENVO:01000213	__subtropical shrubland biome [ENVO:01000213]	broad-scale environmental context																
ENVO:01000217	____mediterranean shrubland biome [ENVO:01000217]	broad-scale environmental context																
ENVO:01000215	__temperate shrubland biome [ENVO:01000215]	broad-scale environmental context																
ENVO:01000214	__tropical shrubland biome [ENVO:01000214]	broad-scale environmental context																
ENVO:01001837	subalpine biome [ENVO:01001837]	broad-scale environmental context																
ENVO:01001834	subpolar biome [ENVO:01001834]	broad-scale environmental context																
ENVO:01001832	subtropical biome [ENVO:01001832]	broad-scale environmental context																
ENVO:01001833	__mediterranean biome [ENVO:01001833]	broad-scale environmental context																
ENVO:01000229	____mediterranean savanna biome [ENVO:01000229]	broad-scale environmental context																
ENVO:01000217	____mediterranean shrubland biome [ENVO:01000217]	broad-scale environmental context																
ENVO:01000208	____mediterranean woodland biome [ENVO:01000208]	broad-scale environmental context																
ENVO:01000187	__subtropical savanna biome [ENVO:01000187]	broad-scale environmental context																
ENVO:01000229	____mediterranean savanna biome [ENVO:01000229]	broad-scale environmental context																
ENVO:01000213	__subtropical shrubland biome [ENVO:01000213]	broad-scale environmental context																
ENVO:01000217	____mediterranean shrubland biome [ENVO:01000217]	broad-scale environmental context																
ENVO:01000222	__subtropical woodland biome [ENVO:01000222]	broad-scale environmental context																
ENVO:01000208	____mediterranean woodland biome [ENVO:01000208]	broad-scale environmental context																
ENVO:01001831	temperate biome [ENVO:01001831]	broad-scale environmental context																
ENVO:01000189	__temperate savanna biome [ENVO:01000189]	broad-scale environmental context																
ENVO:01000215	__temperate shrubland biome [ENVO:01000215]	broad-scale environmental context																
ENVO:01000221	__temperate woodland biome [ENVO:01000221]	broad-scale environmental context																
ENVO:01001830	tropical biome [ENVO:01001830]	broad-scale environmental context																
ENVO:01000188	__tropical savanna biome [ENVO:01000188]	broad-scale environmental context																
ENVO:01000214	__tropical shrubland biome [ENVO:01000214]	broad-scale environmental context																
ENVO:01000220	__tropical woodland biome [ENVO:01000220]	broad-scale environmental context																
ENVO:01000180	tundra biome [ENVO:01000180]	broad-scale environmental context																
ENVO:01001505	__alpine tundra biome [ENVO:01001505]	broad-scale environmental context																
ENVO:01000249	urban biome [ENVO:01000249]	broad-scale environmental context																
ENVO:01000175	woodland biome [ENVO:01000175]	broad-scale environmental context																
ENVO:01000178	__savanna biome [ENVO:01000178]	broad-scale environmental context																
ENVO:01000190	____flooded savanna biome [ENVO:01000190]	broad-scale environmental context																
ENVO:01000223	____montane savanna biome [ENVO:01000223]	broad-scale environmental context																
ENVO:01000187	____subtropical savanna biome [ENVO:01000187]	broad-scale environmental context																
ENVO:01000229	______mediterranean savanna biome [ENVO:01000229]	broad-scale environmental context																
ENVO:01000189	____temperate savanna biome [ENVO:01000189]	broad-scale environmental context																
ENVO:01000188	____tropical savanna biome [ENVO:01000188]	broad-scale environmental context																
ENVO:01000222	__subtropical woodland biome [ENVO:01000222]	broad-scale environmental context																
ENVO:01000208	____mediterranean woodland biome [ENVO:01000208]	broad-scale environmental context																
ENVO:01000221	__temperate woodland biome [ENVO:01000221]	broad-scale environmental context																
ENVO:01000220	__tropical woodland biome [ENVO:01000220]	broad-scale environmental context																
